user_id,sec,sessions_completed,series_completed,gender,experience_level,estimate_birth_day,focus,subscribed
16,225,1,0,m,low,1982-03-14 04:32:24.435+00,mindfulness,1
41,1795,1,0,f,medium,1969-04-21 13:25:48.392+00,yoga,
104,3750,9,2,f,high,1958-04-24 20:23:59.469+00,mindfulness,1
131,635,2,0,f,medium,1968-04-27 23:50:42.827+00,mindfulness,
155,810,4,0,f,high,1963-04-25 20:15:37.788+00,mindfulness,1
196,3095,2,0,m,high,1985-07-06 03:58:07.285+00,yoga,
206,700,2,0,m,medium,1982-04-30 15:55:26.081+00,yoga,
213,625,2,0,f,medium,1979-05-07 16:42:15.849+00,mindfulness,
216,1035,3,0,m,medium,1985-04-27 17:13:14.506+00,mindfulness,
249,1560,2,0,m,medium,1982-04-21 19:41:59.814+00,mindfulness,
298,2965,4,0,m,none,1979-07-14 14:43:17.911+00,mindfulness,
308,1805,1,0,f,medium,1969-04-26 13:34:27.623+00,yoga,
349,80,1,0,m,medium,1964-05-12 09:54:36.95+00,mindfulness,
368,805,3,0,m,medium,1976-06-29 22:14:54.572+00,yoga,
384,260,9,0,f,none,,mindfulness,
385,45,2,0,m,none,1978-04-24 03:15:41.882+00,mindfulness,
393,155,1,0,f,high,1974-08-06 22:48:51.027+00,mindfulness,
402,1605,5,0,f,high,1981-07-16 13:47:20.38+00,mindfulness,1
405,115,1,0,m,medium,1984-04-24 17:46:28.184+00,mindfulness,
411,340,4,0,f,none,1985-04-28 21:19:41.63+00,yoga,
421,355,1,0,m,medium,1990-04-21 14:35:59.028+00,mindfulness,1
438,60,1,0,f,none,1991-07-29 22:55:09.678+00,yoga,
440,2505,5,0,m,low,1987-05-12 09:15:13.942+00,mindfulness,
452,690,2,0,f,none,1985-04-28 06:45:38.863+00,mindfulness,
462,1310,3,0,m,medium,1989-05-01 22:45:05.05+00,yoga,
473,60,1,0,m,medium,1975-04-24 14:47:00.348+00,mindfulness,1
476,1230,3,0,f,medium,1994-04-21 06:05:10.118+00,mindfulness,
477,135,1,0,m,medium,1961-09-13 08:54:23.573+00,mindfulness,
478,1695,4,0,f,medium,1957-04-20 23:44:36.869+00,mindfulness,
486,2990,6,0,f,low,1991-05-14 20:18:02.762+00,mindfulness,1
497,1805,1,0,m,medium,1979-04-27 12:46:42.531+00,yoga,
499,1900,5,0,f,none,1985-04-20 23:58:57.862+00,mindfulness,
503,2455,3,0,m,low,1994-05-07 12:42:32.388+00,mindfulness,
530,45,1,0,f,low,1985-04-21 14:17:05.259+00,mindfulness,
531,1840,4,0,m,none,1983-04-21 15:13:37.702+00,mindfulness,
532,35,1,0,m,medium,1981-04-21 15:45:40.537+00,mindfulness,
537,145,1,0,f,medium,1987-04-21 19:21:33.32+00,yoga,
538,80,1,0,f,none,1985-04-21 19:23:50.607+00,mindfulness,
542,15,1,0,f,medium,1969-04-21 22:09:27.176+00,mindfulness,
547,175,1,0,f,low,1966-04-21 23:01:06.548+00,mindfulness,
552,115,1,0,m,medium,1979-04-22 00:01:10.945+00,mindfulness,
554,485,1,0,f,none,1994-04-22 02:43:19.623+00,mindfulness,
556,2400,5,0,f,low,1990-06-15 17:45:44.225+00,mindfulness,
558,725,3,0,f,medium,1985-04-22 07:18:25.647+00,mindfulness,
559,30,1,0,f,low,1985-04-22 07:47:49.637+00,mindfulness,
561,55,1,0,f,none,1977-04-22 12:12:56.157+00,mindfulness,
563,40,1,0,m,medium,1975-04-22 14:35:32.26+00,mindfulness,
564,265,3,0,f,medium,1985-04-22 15:14:04.707+00,mindfulness,
566,140,1,0,m,low,1981-04-22 15:42:49.019+00,mindfulness,
570,1280,3,0,m,low,1964-04-22 18:35:27.764+00,mindfulness,
581,240,1,0,f,high,1977-04-23 10:45:57.8+00,yoga,
587,310,2,0,f,low,1960-04-23 17:15:34.687+00,mindfulness,
606,170,1,0,m,medium,1962-04-24 00:16:35.453+00,mindfulness,
607,1310,1,0,f,high,1976-04-24 01:51:59.718+00,yoga,
611,1830,1,0,m,none,1988-04-24 04:33:08.625+00,yoga,
613,1605,5,0,f,high,1989-04-24 09:40:11.147+00,yoga,1
622,95,1,0,m,medium,1975-04-24 19:08:44.223+00,mindfulness,
626,540,2,0,m,medium,1955-04-24 20:56:35.208+00,mindfulness,
647,445,2,0,f,medium,1956-04-25 11:03:20.276+00,mindfulness,
648,685,3,0,m,medium,1985-04-25 11:58:56.354+00,mindfulness,
651,2100,6,0,f,medium,1980-04-25 19:04:47.039+00,yoga,
652,1475,11,0,m,medium,1968-04-25 18:49:32.609+00,mindfulness,
653,25,1,0,f,medium,1971-04-26 07:13:15.388+00,mindfulness,
655,365,3,0,f,low,1981-04-25 23:05:57.8+00,mindfulness,
656,1840,8,0,m,high,1985-04-25 23:53:03.719+00,mindfulness,1
657,185,1,0,f,medium,1982-04-26 04:09:04.089+00,yoga,
659,60,1,0,m,low,1992-04-26 09:49:10.042+00,mindfulness,
660,170,1,0,f,medium,1963-04-26 11:20:30.801+00,yoga,
662,85,1,0,m,medium,1968-04-26 14:45:08.949+00,mindfulness,
663,2510,5,0,f,none,1960-04-26 15:08:33.583+00,mindfulness,
665,1995,1,0,m,low,1973-04-26 22:26:14.78+00,yoga,
666,1175,7,0,m,medium,1974-03-13 23:11:50.61+00,yoga,
668,110,1,0,m,none,1986-04-27 00:32:12.556+00,mindfulness,
669,105,1,0,m,medium,1989-04-27 02:27:18.449+00,mindfulness,
670,65,1,0,f,medium,1991-04-27 02:43:20.343+00,mindfulness,
672,2285,1,0,f,medium,1983-04-27 05:23:01.187+00,yoga,
675,2550,5,0,f,none,1968-04-27 12:30:33.518+00,mindfulness,
679,5125,11,0,m,medium,1988-04-27 16:11:41.495+00,mindfulness,
680,130,1,0,m,none,1987-04-27 16:55:25.556+00,mindfulness,
686,105,1,0,m,medium,1990-04-27 19:12:25.991+00,mindfulness,
694,660,5,0,m,medium,1973-04-27 21:26:28.675+00,mindfulness,
696,700,2,0,f,medium,1986-04-27 21:33:52.931+00,mindfulness,
702,650,3,0,f,medium,1966-04-28 11:50:57.494+00,mindfulness,
704,450,1,0,m,low,1986-04-28 14:38:02.632+00,mindfulness,
705,300,1,0,m,low,1988-04-28 17:36:58.891+00,mindfulness,
706,110,1,0,m,none,1980-04-28 17:53:35.151+00,mindfulness,
708,600,2,0,f,medium,1982-12-12 05:17:25.745+00,mindfulness,
730,3185,7,0,f,medium,1985-04-29 05:25:54.783+00,yoga,
739,1300,3,0,f,high,1973-04-29 17:30:03.204+00,mindfulness,1
747,20,1,0,f,low,1988-04-29 22:03:50.704+00,mindfulness,
756,690,2,0,f,low,1985-04-30 12:02:17.658+00,mindfulness,
760,110,1,0,m,none,1969-04-30 16:03:28.977+00,mindfulness,
763,125,2,0,m,low,1969-04-30 18:24:44.236+00,mindfulness,
769,295,1,0,f,high,1965-04-30 21:12:49.239+00,yoga,
773,720,2,0,m,medium,1980-05-01 05:29:52.962+00,mindfulness,
774,455,1,0,m,low,1984-05-01 06:06:34.654+00,mindfulness,
775,695,2,0,f,none,1982-05-01 08:04:55.09+00,mindfulness,
777,165,1,0,f,none,1985-05-01 12:55:08.158+00,mindfulness,
780,195,1,0,m,none,1981-05-01 13:36:06.016+00,yoga,
781,135,1,0,m,low,1985-05-01 14:27:23.846+00,mindfulness,
782,470,10,0,m,none,1963-05-01 14:28:54.924+00,mindfulness,
783,65,1,0,f,medium,1987-05-01 14:56:32.85+00,mindfulness,
784,35,1,0,m,none,1993-05-01 15:24:01.803+00,mindfulness,
785,20,1,0,f,none,1989-05-01 16:35:28.399+00,mindfulness,
787,145,1,0,m,none,1949-05-01 17:49:03.614+00,mindfulness,
788,2480,5,0,f,medium,1962-05-01 17:52:08.142+00,mindfulness,
789,40,1,0,f,medium,1966-05-01 18:30:46.588+00,mindfulness,
790,700,2,0,f,low,1948-05-01 18:36:49.184+00,mindfulness,
793,355,2,0,m,none,1980-05-01 20:51:02.879+00,mindfulness,
797,100,1,0,f,none,1959-05-01 22:36:28.598+00,mindfulness,
799,485,2,0,f,none,1973-05-01 23:35:50.604+00,mindfulness,
800,490,4,0,f,none,1978-05-01 23:51:58.906+00,mindfulness,
801,690,2,0,f,high,1977-05-02 00:32:57.263+00,mindfulness,
803,15,1,0,f,medium,1971-05-02 01:59:48.391+00,mindfulness,
805,485,2,0,m,none,1988-06-21 20:35:00.98+00,mindfulness,1
806,60,1,0,m,low,1964-05-02 03:33:58.947+00,mindfulness,
814,705,2,0,f,low,1970-05-02 13:25:56.931+00,mindfulness,
815,1355,4,0,m,low,1962-05-02 15:12:21.304+00,mindfulness,
817,690,2,0,f,none,1979-05-02 16:41:14.033+00,mindfulness,
824,535,2,0,f,none,2002-05-03 02:24:43.639+00,mindfulness,
825,2755,6,0,f,low,1982-05-03 02:29:09.656+00,mindfulness,
830,830,2,0,f,medium,1985-05-03 13:53:25.036+00,mindfulness,
831,700,2,0,f,high,1951-05-03 13:57:28.072+00,mindfulness,
832,240,1,0,m,medium,1953-05-03 19:10:30.653+00,mindfulness,
834,705,2,0,f,low,1946-05-03 19:20:59.156+00,mindfulness,
835,1295,3,0,f,none,1985-05-03 21:09:49.888+00,mindfulness,
842,360,1,0,f,low,1959-05-04 03:41:43.013+00,mindfulness,
845,4545,10,2,f,medium,1983-05-04 11:40:15.854+00,mindfulness,
