ID,subscribedYN,sec,sessions_completed,series_completed,experience,focus_n,gender_n,dob_given
0,1,225,1,0,2,0,1,1
1,0,1795,1,0,3,1,0,1
2,1,3750,9,2,4,0,0,1
3,0,635,2,0,3,0,0,1
4,1,810,4,0,4,0,0,1
5,0,3095,2,0,4,1,1,1
6,0,700,2,0,3,1,1,1
7,0,625,2,0,3,0,0,1
8,0,1035,3,0,3,0,1,1
9,0,1560,2,0,3,0,1,1
10,0,2965,4,0,1,0,1,1
11,0,1805,1,0,3,1,0,1
12,0,80,1,0,3,0,1,1
13,0,805,3,0,3,1,1,1
14,0,260,9,0,1,0,0,0
15,0,45,2,0,1,0,1,1
16,0,155,1,0,4,0,0,1
17,1,1605,5,0,4,0,0,1
18,0,115,1,0,3,0,1,1
19,0,340,4,0,1,1,0,1
20,1,355,1,0,3,0,1,1
21,0,60,1,0,1,1,0,1
22,0,2505,5,0,2,0,1,1
23,0,690,2,0,1,0,0,1
24,0,1310,3,0,3,1,1,1
25,1,60,1,0,3,0,1,1
26,0,1230,3,0,3,0,0,1
27,0,135,1,0,3,0,1,1
28,0,1695,4,0,3,0,0,1
29,1,2990,6,0,2,0,0,1
30,0,1805,1,0,3,1,1,1
31,0,1900,5,0,1,0,0,1
32,0,2455,3,0,2,0,1,1
33,0,45,1,0,2,0,0,1
34,0,1840,4,0,1,0,1,1
35,0,35,1,0,3,0,1,1
36,0,145,1,0,3,1,0,1
37,0,80,1,0,1,0,0,1
38,0,15,1,0,3,0,0,1
39,0,175,1,0,2,0,0,1
40,0,115,1,0,3,0,1,1
41,0,485,1,0,1,0,0,1
42,0,2400,5,0,2,0,0,1
43,0,725,3,0,3,0,0,1
44,0,30,1,0,2,0,0,1
45,0,55,1,0,1,0,0,1
46,0,40,1,0,3,0,1,1
47,0,265,3,0,3,0,0,1
48,0,140,1,0,2,0,1,1
49,0,1280,3,0,2,0,1,1
50,0,240,1,0,4,1,0,1
51,0,310,2,0,2,0,0,1
52,0,170,1,0,3,0,1,1
53,0,1310,1,0,4,1,0,1
54,0,1830,1,0,1,1,1,1
55,1,1605,5,0,4,1,0,1
56,0,95,1,0,3,0,1,1
57,0,540,2,0,3,0,1,1
58,0,445,2,0,3,0,0,1
59,0,685,3,0,3,0,1,1
60,0,2100,6,0,3,1,0,1
61,0,1475,11,0,3,0,1,1
62,0,25,1,0,3,0,0,1
63,0,365,3,0,2,0,0,1
64,1,1840,8,0,4,0,1,1
65,0,185,1,0,3,1,0,1
66,0,60,1,0,2,0,1,1
67,0,170,1,0,3,1,0,1
68,0,85,1,0,3,0,1,1
69,0,2510,5,0,1,0,0,1
70,0,1995,1,0,2,1,1,1
71,0,1175,7,0,3,1,1,1
72,0,110,1,0,1,0,1,1
73,0,105,1,0,3,0,1,1
74,0,65,1,0,3,0,0,1
75,0,2285,1,0,3,1,0,1
76,0,2550,5,0,1,0,0,1
77,0,5125,11,0,3,0,1,1
78,0,130,1,0,1,0,1,1
79,0,105,1,0,3,0,1,1
80,0,660,5,0,3,0,1,1
81,0,700,2,0,3,0,0,1
82,0,650,3,0,3,0,0,1
83,0,450,1,0,2,0,1,1
84,0,300,1,0,2,0,1,1
85,0,110,1,0,1,0,1,1
86,0,600,2,0,3,0,0,1
87,0,3185,7,0,3,1,0,1
88,1,1300,3,0,4,0,0,1
89,0,20,1,0,2,0,0,1
90,0,690,2,0,2,0,0,1
91,0,110,1,0,1,0,1,1
92,0,125,2,0,2,0,1,1
93,0,295,1,0,4,1,0,1
94,0,720,2,0,3,0,1,1
95,0,455,1,0,2,0,1,1
96,0,695,2,0,1,0,0,1
97,0,165,1,0,1,0,0,1
98,0,195,1,0,1,1,1,1
99,0,135,1,0,2,0,1,1
100,0,470,10,0,1,0,1,1
101,0,65,1,0,3,0,0,1
102,0,35,1,0,1,0,1,1
103,0,20,1,0,1,0,0,1
104,0,145,1,0,1,0,1,1
105,0,2480,5,0,3,0,0,1
106,0,40,1,0,3,0,0,1
107,0,700,2,0,2,0,0,1
108,0,355,2,0,1,0,1,1
109,0,100,1,0,1,0,0,1
110,0,485,2,0,1,0,0,1
111,0,490,4,0,1,0,0,1
112,0,690,2,0,4,0,0,1
113,0,15,1,0,3,0,0,1
114,1,485,2,0,1,0,1,1
115,0,60,1,0,2,0,1,1
116,0,705,2,0,2,0,0,1
117,0,1355,4,0,2,0,1,1
118,0,690,2,0,1,0,0,1
119,0,535,2,0,1,0,0,1
120,0,2755,6,0,2,0,0,1
121,0,830,2,0,3,0,0,1
122,0,700,2,0,4,0,0,1
123,0,240,1,0,3,0,1,1
124,0,705,2,0,2,0,0,1
125,0,1295,3,0,1,0,0,1
126,0,360,1,0,2,0,0,1
127,0,4545,10,2,3,0,0,1
128,0,630,2,0,4,0,0,1
129,0,695,2,0,4,0,0,1
130,0,140,3,0,3,0,1,1
131,0,50,1,0,2,0,1,1
132,1,3430,11,0,3,0,0,1
133,0,3540,7,0,3,0,0,1
134,0,30,1,0,2,0,1,1
135,0,65,2,0,3,0,1,1
136,0,415,1,0,3,0,0,1
137,1,6440,10,0,4,1,0,1
138,0,3045,7,0,2,0,1,1
139,0,120,1,0,1,0,1,1
140,0,1455,5,0,2,0,1,1
141,0,70,1,0,2,0,0,1
142,0,60,1,0,2,0,0,1
143,0,700,2,0,1,0,0,1
144,0,700,2,0,1,0,0,1
145,0,125,1,0,3,0,1,1
146,0,695,2,0,1,0,1,1
147,0,695,2,0,3,0,1,1
148,0,665,2,0,2,0,0,1
149,0,15,1,0,2,0,0,1
150,1,2895,17,0,3,0,1,1
